09203521.jpg - 09.09.2011 20:35 X(m): -1939.24, Y(m): 1712.50, Alt(m): 1.72, Depth(m): 33.49, V(m/s): 0.10, Heading(deg): 100.1, Pitch(deg): 0.3, Flash time: 8
09203523.jpg - 09.09.2011 20:35 X(m): -1939.08, Y(m): 1712.39, Alt(m): 1.73, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 100.6, Pitch(deg): 0.3, Flash time: 8
09203525.jpg - 09.09.2011 20:35 X(m): -1938.93, Y(m): 1712.29, Alt(m): 1.73, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 101.5, Pitch(deg): 0.0, Flash time: 8
09203527.jpg - 09.09.2011 20:35 X(m): -1938.78, Y(m): 1712.19, Alt(m): 1.74, Depth(m): 33.48, V(m/s): 0.09, Heading(deg): 102.6, Pitch(deg): 0.0, Flash time: 8
09203529.jpg - 09.09.2011 20:35 X(m): -1938.62, Y(m): 1712.09, Alt(m): 1.75, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 103.7, Pitch(deg): -0.3, Flash time: 8
09203531.jpg - 09.09.2011 20:35 X(m): -1938.47, Y(m): 1711.98, Alt(m): 1.75, Depth(m): 33.50, V(m/s): 0.10, Heading(deg): 105.0, Pitch(deg): -0.3, Flash time: 8
09203533.jpg - 09.09.2011 20:35 X(m): -1938.31, Y(m): 1711.87, Alt(m): 1.74, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 106.1, Pitch(deg): -0.3, Flash time: 8
09203535.jpg - 09.09.2011 20:35 X(m): -1938.16, Y(m): 1711.75, Alt(m): 1.73, Depth(m): 33.47, V(m/s): 0.09, Heading(deg): 107.1, Pitch(deg): -0.3, Flash time: 8
09203537.jpg - 09.09.2011 20:35 X(m): -1938.01, Y(m): 1711.64, Alt(m): 1.72, Depth(m): 33.50, V(m/s): 0.10, Heading(deg): 108.1, Pitch(deg): -0.6, Flash time: 8
09203539.jpg - 09.09.2011 20:35 X(m): -1937.86, Y(m): 1711.52, Alt(m): 1.70, Depth(m): 33.50, V(m/s): 0.09, Heading(deg): 108.9, Pitch(deg): -0.6, Flash time: 8
09203541.jpg - 09.09.2011 20:35 X(m): -1937.71, Y(m): 1711.41, Alt(m): 1.69, Depth(m): 33.50, V(m/s): 0.10, Heading(deg): 109.5, Pitch(deg): -0.6, Flash time: 8
09203543.jpg - 09.09.2011 20:35 X(m): -1937.56, Y(m): 1711.29, Alt(m): 1.68, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 110.2, Pitch(deg): -0.6, Flash time: 8
09203545.jpg - 09.09.2011 20:35 X(m): -1937.41, Y(m): 1711.16, Alt(m): 1.67, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 111.3, Pitch(deg): -0.3, Flash time: 8
09203547.jpg - 09.09.2011 20:35 X(m): -1937.26, Y(m): 1711.03, Alt(m): 1.68, Depth(m): 33.52, V(m/s): 0.10, Heading(deg): 114.0, Pitch(deg): 0.0, Flash time: 8
